path,subject,camera,bin
0001_c3s3_026053_04.jpg,0001,3,gallery
0001_c1s1_002301_02.jpg,0001,1,gallery
0001_c5s2_002483_03.jpg,0001,5,gallery
0001_c2s1_082596_03.jpg,0001,2,poor
0001_c3s1_082942_04.jpg,0001,3,poor
0001_c3s2_118119_03.jpg,0001,3,poor
0001_c1s1_002401_02.jpg,0001,1,poor
0001_c6s2_112243_04.jpg,0001,6,poor
0001_c1s6_011741_02.jpg,0001,1,poor
0001_c3s1_083067_05.jpg,0001,3,poor
0001_c1s2_037091_02.jpg,0001,1,poor
0003_c4s6_015716_03.jpg,0003,4,gallery
0003_c4s6_015641_01.jpg,0003,4,gallery
0003_c4s6_015666_02.jpg,0003,4,gallery
0003_c1s6_015971_02.jpg,0003,1,none
0003_c1s6_015996_02.jpg,0003,1,none
0003_c3s3_064744_03.jpg,0003,3,none
0003_c3s3_064794_04.jpg,0003,3,none
0003_c5s3_065187_01.jpg,0003,5,none
0003_c6s3_088392_04.jpg,0003,6,none
0003_c6s3_088442_04.jpg,0003,6,none
0004_c6s4_001977_04.jpg,0004,6,gallery
0004_c1s6_017046_01.jpg,0004,1,gallery
0004_c1s6_027096_02.jpg,0004,1,gallery
0004_c3s3_075569_03.jpg,0004,3,poor
0004_c1s6_016996_02.jpg,0004,1,poor
0004_c3s3_065619_02.jpg,0004,3,poor
0004_c6s4_002152_01.jpg,0004,6,poor
0004_c3s3_065819_03.jpg,0004,3,poor
0004_c6s4_001952_02.jpg,0004,6,poor
0004_c6s4_002152_05.jpg,0004,6,poor
0004_c5s3_066212_01.jpg,0004,5,poor
0005_c1s1_001351_02.jpg,0005,1,gallery
0005_c3s2_088578_02.jpg,0005,3,gallery
0005_c4s1_006951_03.jpg,0005,4,gallery
0005_c3s3_060878_05.jpg,0005,3,poor
0005_c1s1_001376_03.jpg,0005,1,poor
0005_c1s6_023071_01.jpg,0005,1,poor
0005_c2s2_048412_01.jpg,0005,2,poor
0005_c2s2_048412_03.jpg,0005,2,poor
0005_c3s3_060878_01.jpg,0005,3,poor
0005_c5s1_000626_02.jpg,0005,5,poor
0005_c1s1_001526_02.jpg,0005,1,poor
0006_c3s3_075694_02.jpg,0006,3,gallery
0006_c2s3_069402_01.jpg,0006,2,gallery
0006_c2s3_069327_01.jpg,0006,2,gallery
0006_c2s3_069427_01.jpg,0006,2,poor
0006_c3s3_075719_01.jpg,0006,3,poor
0006_c5s3_076037_03.jpg,0006,5,poor
0006_c1s6_026921_01.jpg,0006,1,none
0006_c5s3_076087_03.jpg,0006,5,none
0006_c6s4_002202_04.jpg,0006,6,none
0008_c1s1_000376_02.jpg,0008,1,gallery
0008_c1s1_000401_01.jpg,0008,1,gallery
0008_c1s1_000426_02.jpg,0008,1,gallery
0008_c1s1_000451_02.jpg,0008,1,none
0008_c5s1_000401_01.jpg,0008,5,none
0008_c6s1_000476_01.jpg,0008,6,none
0009_c5s1_000551_02.jpg,0009,5,gallery
0009_c5s1_000476_01.jpg,0009,5,gallery
0009_c1s1_000376_01.jpg,0009,1,gallery
0009_c1s1_000401_02.jpg,0009,1,none
0009_c1s1_000426_01.jpg,0009,1,none
0009_c1s1_000451_01.jpg,0009,1,none
0009_c6s1_000476_03.jpg,0009,6,none
0009_c6s1_000501_01.jpg,0009,6,none
0013_c5s1_000551_04.jpg,0013,5,gallery
0013_c5s1_000476_03.jpg,0013,5,gallery
0013_c5s1_000426_01.jpg,0013,5,gallery
0013_c6s1_000451_03.jpg,0013,6,poor
0013_c6s1_000476_06.jpg,0013,6,none
